Purchase Date	Name	Address	Mobile	Email	ID	OID	Quantity	Unit Price	Subtotal
12/10/18	Pham	3 Nicole Close	04 1234 1234	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	04 1234 1234	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	04 1234 1234	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	04 1234 1234	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	BB2	SML	7	5.9	41.3
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
12/10/18	Pham	3 Nicole Close	0432108304	hellolagg@gmail.com	CH1	SML	3	4.9	14.7
19/10/18	trev rev	1 rmit st	0400123456	trev@rmit.com	CH1	SML	4	4.9	19.6
19/10/18	trev rev	1 rmit st	0400123456	trev@rmit.com	BB2	MED	5	6.9	34.5
19/10/18	trev rev	1 rmit st	0400123456	trev@rmit.com	SC3	SML	10	7.7	77
19/10/18	trev rev	1 rmit st	0400123456	trev@rmit.com	FAKE	SML	2		0
19/10/18	trev rev	1 rmit st	0400123456	trev@rmit.com	KP5	SML	-1	5.9	-5.9
